key,key:userAccount,statement,strongFeatures,weakFeatures,link
student-01,user-account-student-01,"This is a statement.", "Well behaved, sincere and hard-working.", "Silly, slow learner and too perfectionist."
student-02,user-account-student-02,"This is a statement with numbers 1234567890.", "Well behaved, sincere and hard-working.", "Silly, slow learner and too perfectionist."
student-03,user-account-student-03,"这是一份中文声明", "Well behaved, sincere and hard-working.", "Silly, slow learner and too perfectionist."
student-04,user-account-student-04,"これは日本語での声明です", "Well behaved, sincere and hard-working.", "Silly, slow learner and too perfectionist."
student-05,user-account-student-05,"это заявление на русском языке", "Well behaved, sincere and hard-working.", "Silly, slow learner and too perfectionist."
student-06,user-account-student-06,"This is a statement with symbols |!""@·#$~%€&¬/()=`+*^[]{}¨ç-.:,;", "Well behaved, sincere and hard-working.", "Silly, slow learner and too perfectionist."
student-07,user-account-student-07,"This is a statement.", "This is a text with numbers 1234567890", "Silly, slow learner and too perfectionist."
student-08,user-account-student-08,"This is a statement.", "这是中文文本", "Silly, slow learner and too perfectionist."
student-09,user-account-student-09,"This is a statement.", "これは日本語のテキストです", "Silly, slow learner and too perfectionist."
student-10,user-account-student-10,"This is a statement.", "это текст на русском", "Silly, slow learner and too perfectionist."
student-11,user-account-student-11,"This is a statement.", "This is a text with symbols |!""@·#$~%€&¬/()=`+*^[]{}¨ç-.:,;", "Silly, slow learner and too perfectionist."
student-12,user-account-student-12,"This is a statement.", "Well behaved, sincere and hard-working.", "这是中文文本"
student-13,user-account-student-13,"This is a statement.", "Well behaved, sincere and hard-working.", "これは日本語のテキストです"
student-14,user-account-student-14,"This is a statement.", "Well behaved, sincere and hard-working.", "это текст на русском"
student-15,user-account-student-15,"This is a statement.", "Well behaved, sincere and hard-working.", "This is a text with symbols |!""@·#$~%€&¬/()=`+*^[]{}¨ç-.:,;"
